call_id,call_datetime,agent_id,country,campaign_id,lead_id,attempt_number,dialer_status,talk_seconds,wrap_seconds,disposition,recording_flag
CALLQ5FERH4EAI,2025-05-15T17:10:18,AGHZEDCJ,KE,CAMPFD0TVBDI,LEADAG3APTM9,1,CONNECTED,85,5,,N
CALL3WGG17N05T,2025-05-15T17:49:51,AG2NAFH6,ZM,CAMPJIUJV6OH,LEADCYBRXODH,1,NO_ANSWER,0,0,,Y
CALLHC7Y617BP0,2025-05-15T17:54:23,AG0BJHPP,KE,CAMPLC58DRC1,LEAD9MV9E40K,1,CONNECTED,137,5,,Y
CALLQBJCZDWWWO,2025-05-15T18:11:37,AG0BJHPP,UG,CAMPIBLJH75L,LEAD4GG24479,1,NO_ANSWER,0,0,,Y
CALL00DOL4J0WK,2025-05-15T18:16:28,AG1QOOHF,UG,CAMPJ5PHT0HL,LEADFZDTC5PA,1,NO_ANSWER,0,0,,Y
CALLSWNVMO4D0U,2025-05-15T18:20:51,AG1QOOHF,KE,CAMPXEPQ85JS,LEAD2SCEJCY1,1,NO_ANSWER,0,0,,Y
CALLVZIODJCTDY,2025-05-15T18:23:42,AGHV163D,UG,CAMPIBLJH75L,LEADPXU7B6NB,1,CONNECTED,183,119,WRONG_NUMBER,Y
CALLGPLDJ4V68A,2025-05-15T18:27:57,AGD9Y8Y0,GH,CAMPX1945NQ4,LEADI4SP7QFQ,1,CONNECTED,210,59,NOT_INTERESTED,Y
CALLZ90HEDMAMK,2025-05-15T18:37:05,AG37A67E,ZM,CAMPJIUJV6OH,LEADEM9NNC8Y,1,CONNECTED,434,5,NOT_INTERESTED,Y
CALLZXDJZ8OGEW,2025-05-15T18:45:46,AGC3V8MO,KE,CAMPFD0TVBDI,LEADFDW79WCX,1,CONNECTED,45,19,OTHER,Y
CALLINW11C4MTH,2025-05-15T19:08:10,AG59SHE9,GH,CAMP4V30T9NT,LEADGGACSQNB,1,NO_ANSWER,0,0,,Y
CALLLKIVOFVYC6,2025-05-15T19:34:02,AGGV3WAG,KE,CAMPXEPQ85JS,LEADHKBRJIGL,1,ABANDONED,0,0,,Y
CALLQO2IBZAN9S,2025-05-15T19:37:30,AGPUZHHO,ZM,CAMPW2PCN9T8,LEADTOS87MVZ,1,RING,0,0,,Y
